CA	AD
AR	AE
FA	AE
EN	AE
HI	AE
UR	AE
FA	AF
PS	AF
UZ	AF
TK	AF
EN	AG
EN	AI
SQ	AL
EL	AL
HY	AM
PT	AO
ES	AR
EN	AR
IT	AR
DE	AR
FR	AR
GN	AR
EN	AS
SM	AS
TO	AS
DE	AT
HR	AT
HU	AT
SL	AT
EN	AU
NL	AW
ES	AW
EN	AW
SV	AX
AZ	AZ
RU	AZ
HY	AZ
BS	BA
HR	BA
SR	BA
EN	BB
BN	BD
EN	BD
NL	BE
FR	BE
DE	BE
FR	BF
BG	BG
TR	BG
AR	BH
EN	BH
FA	BH
UR	BH
FR	BI
RN	BI
FR	BJ
FR	BL
EN	BM
PT	BM
MS	BN
EN	BN
ES	BO
QU	BO
AY	BO
NL	BQ
PAP	BQ
EN	BQ
PT	BR
ES	BR
EN	BR
FR	BR
EN	BS
DZ	BT
EN	BW
TN	BW
BE	BY
RU	BY
EN	BZ
ES	BZ
EN	CA
FR	CA
IU	CA
MS	CC
EN	CC
FR	CD
LN	CD
KG	CD
FR	CF
SG	CF
LN	CF
KG	CF
FR	CG
KG	CG
LN	CG
DE	CH
FR	CH
IT	CH
RM	CH
FR	CI
EN	CK
MI	CK
ES	CL
EN	CM
FR	CM
ZH	CN
YUE	CN
WUU	CN
DTA	CN
UG	CN
ZA	CN
ES	CO
ES	CR
EN	CR
ES	CU
PT	CV
NL	CW
PAP	CW
EN	CX
ZH	CX
MS	CX
EL	CY
TR	CY
EN	CY
CS	CZ
SK	CZ
DE	DE
FR	DJ
AR	DJ
SO	DJ
AA	DJ
DA	DK
EN	DK
FO	DK
DE	DK
EN	DM
ES	DO
AR	DZ
ES	EC
ET	EE
RU	EE
AR	EG
EN	EG
FR	EG
AR	EH
MEY	EH
AA	ER
AR	ER
TIG	ER
KUN	ER
TI	ER
ES	ES
CA	ES
GL	ES
EU	ES
OC	ES
AM	ET
EN	ET
OM	ET
TI	ET
SO	ET
SID	ET
FI	FI
SV	FI
SMN	FI
EN	FJ
FJ	FJ
EN	FK
EN	FM
CHK	FM
PON	FM
YAP	FM
KOS	FM
ULI	FM
WOE	FM
NKR	FM
KPG	FM
FO	FO
DA	FO
FR	FR
FRP	FR
BR	FR
CO	FR
CA	FR
EU	FR
OC	FR
FR	GA
EN	GB
CY	GB
GD	GB
EN	GD
KA	GE
RU	GE
HY	GE
AZ	GE
FR	GF
EN	GG
FR	GG
EN	GH
AK	GH
EE	GH
TW	GH
EN	GI
ES	GI
IT	GI
PT	GI
KL	GL
DA	GL
EN	GL
EN	GM
MNK	GM
WOF	GM
WO	GM
FF	GM
FR	GN
FR	GP
ES	GQ
FR	GQ
EL	GR
EN	GR
FR	GR
EN	GS
ES	GT
EN	GU
CH	GU
PT	GW
POV	GW
EN	GY
ZH	HK
YUE	HK
ZH	HK
EN	HK
ES	HN
HR	HR
SR	HR
HT	HT
FR	HT
HU	HU
ID	ID
EN	ID
NL	ID
JV	ID
EN	IE
GA	IE
HE	IL
AR	IL
EN	IL
EN	IM
GV	IM
EN	IN
HI	IN
BN	IN
TE	IN
MR	IN
TA	IN
UR	IN
GU	IN
KN	IN
ML	IN
OR	IN
PA	IN
AS	IN
BH	IN
SAT	IN
KS	IN
NE	IN
SD	IN
KOK	IN
DOI	IN
MNI	IN
SIT	IN
SA	IN
FR	IN
LUS	IN
INC	IN
EN	IO
AR	IQ
KU	IQ
HY	IQ
FA	IR
KU	IR
IS	IS
EN	IS
DE	IS
DA	IS
SV	IS
NO	IS
IT	IT
DE	IT
FR	IT
SC	IT
CA	IT
CO	IT
SL	IT
EN	JE
PT	JE
EN	JM
AR	JO
EN	JO
JA	JP
EN	KE
SW	KE
KY	KG
UZ	KG
RU	KG
KM	KH
FR	KH
EN	KH
EN	KI
GIL	KI
AR	KM
FR	KM
EN	KN
KO	KP
KO	KR
EN	KR
SQ	XK
SR	XK
AR	KW
EN	KW
EN	KY
KK	KZ
RU	KZ
LO	LA
FR	LA
EN	LA
AR	LB
FR	LB
EN	LB
HY	LB
EN	LC
DE	LI
SI	LK
TA	LK
EN	LK
EN	LR
EN	LS
ST	LS
ZU	LS
XH	LS
LT	LT
RU	LT
PL	LT
LB	LU
DE	LU
FR	LU
LV	LV
RU	LV
LT	LV
AR	LY
IT	LY
EN	LY
AR	MA
FR	MA
FR	MC
EN	MC
IT	MC
RO	MD
RU	MD
GAG	MD
TR	MD
SR	ME
HU	ME
BS	ME
SQ	ME
HR	ME
ROM	ME
FR	MF
FR	MG
MG	MG
MH	MH
EN	MH
MK	MK
SQ	MK
